"4-wheel-kitchen-milwaukee"|"4 Wheel Kitchen"|"foodstands"|"1"|"3.0"|"https://www.yelp.com/biz/4-wheel-kitchen-milwaukee?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"3124456313"|""|"Milwaukee"|"WI"|"53202"
"403-club-kansas-city-3"|"403 Club"|"bars"|"14"|"4.0"|"https://www.yelp.com/biz/403-club-kansas-city-3?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"9134998392"|"614 Reynolds Ave"|"Kansas City"|"KS"|"66101"
"41-north-bar-and-grill-slinger"|"41 North Bar & Grill"|"bars, sandwiches, tradamerican"|"3"|"3.5"|"https://www.yelp.com/biz/41-north-bar-and-grill-slinger?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"2626446419"|"3565 Hillside Rd"|"Slinger"|"WI"|"53086"
"42-ale-house-saint-francis"|"42 Ale House"|"pubs"|"46"|"3.5"|"https://www.yelp.com/biz/42-ale-house-saint-francis?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"4142494952"|"3807 S Packard Ave"|"Saint Francis"|"WI"|"53235"
"42-lounge-milwaukee"|"42 Lounge"|"lounges"|"46"|"4.0"|"https://www.yelp.com/biz/42-lounge-milwaukee?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"4149889982"|"326 E Mason St"|"Milwaukee"|"WI"|"53202"
"4th-base-milwaukee-west-milwaukee"|"4th Base - Milwaukee"|"seafood, sportsbars, steak"|"76"|"3.5"|"https://www.yelp.com/biz/4th-base-milwaukee-west-milwaukee?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"4146478509"|"5117 W National Ave"|"West Milwaukee"|"WI"|"53214"
"4th-down-grill-kansas-city"|"4th Down Grill"|"burgers, desserts"|"1"|"3.0"|"https://www.yelp.com/biz/4th-down-grill-kansas-city?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"9136085474"|"6607 Parallel"|"Kansas City"|"KS"|"66104"
"5-o-clock-club-pewaukee"|"5 O'Clock Club"|"tradamerican"|"42"|"3.5"|"https://www.yelp.com/biz/5-o-clock-club-pewaukee?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"2626919960"|"N28 W26658 Peterson Dr"|"Pewaukee"|"WI"|"53072"
"54th-street-grill-and-bar-grandview"|"54th Street Grill & Bar"|"bars, tradamerican"|"39"|"3.0"|"https://www.yelp.com/biz/54th-street-grill-and-bar-grandview?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"8169655454"|"Truman Corners Shopping Ctr, 12130 S 71st Hwy"|"Grandview"|"MO"|"64030"
"54th-street-grill-and-bar-grandview-3"|"54th Street Grill & Bar"|"burgers, cafes"|"1"|"3.0"|"https://www.yelp.com/biz/54th-street-grill-and-bar-grandview-3?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"8169655454"|"12130 East Frontage Rd"|"Grandview"|"MO"|"64030"
"54th-street-grill-and-bar-independence"|"54th Street Grill & Bar"|"bars, tradamerican"|"59"|"3.5"|"https://www.yelp.com/biz/54th-street-grill-and-bar-independence?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"8167957077"|"18700 E 38th Ter S"|"Independence"|"MO"|"64057"
"54th-street-grill-and-bar-kansas-city-2"|"54th Street Grill and Bar"|"bars, tradamerican"|"44"|"3.5"|"https://www.yelp.com/biz/54th-street-grill-and-bar-kansas-city-2?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"8164555609"|"303 NE Englewood Rd"|"Kansas City"|"MO"|"64116"
